codigo;digito;nombre_establecimiento;codigo_region;nombre_region;codigo_comuna;nombre_comuna;dependencia1;dependencia2;grupo;cod_rural_rbd;prom_lect2m_rbd;prom_mate2m_rbd;cod_est;docente_aula;horas_aula;docente_utp;horas_utp;docente_inspector;horas_inspector;docente_orientacion;horas_orientacion;docentes_total;horas_total;promedio_asistencia;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_TOTAL;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN;PAGO_MATRICULA;PAGO_MENSUAL;LATITUD;LONGITUD;PORC_VIV;PERSONAS;VP;VIV_CASAS;VIV_DEPTO;VIV_MEDIAGUA;AREAS_VERDES;ESTAB_DEPORTIVOS;ESTAB_CARABINEROS;CANTIDAD_PARADEROS;TOTAL_ESTAB_SALUD;VIV_CONVENTILLO;UNIVERSIDADES;TOTAL_EST_EDUC;SECTOR_RM;AREA_VERDE_PERSONA;ESTAB_SALUD_PERSONA;DEPORTE_PERSONA;PERSONAS_VP;Min_Dist_Metro;Mean_Dist_Metro;HH_D_A;HH_D_UTP;HH_D_IG;HH_D_OR;HH_D_TOT;PROM_MATE;cluster
10023;4;LICEO ALBERTO HURTADO;13;METROPOLITANA DE SANTIAGO;13126;QUINTA NORMAL;3;2;3;1;230;232;10023-4;21;789;2;88;0;0;0;0;40;1125;85;244;229;473;203;203;144;144;347;GRATUITO;GRATUITO;-33,44721265;-70,6976603;100;2920;1029;496;411;0;0;1;1;10;0;71;0;2;Zona Poniente;0;0;0,000342466;2,837706511;926,7937791;8106,440362;37,57142857;44;;;28,125;232;Grupo 2
10030;7;LICEO POLIV.SAN JOSE DE LA PRECIOSA SANG;13;METROPOLITANA DE SANTIAGO;13126;QUINTA NORMAL;3;2;3;1;254;271;10030-7;83;3322;0;0;2;88;2;88;93;3751;100;1046;988;2034;905;905;771;771;1676;GRATUITO;GRATUITO;-33,42921617;-70,71656416;93,6065;4576;1503;1181;247;4;9309,445711;10;1;10;2;56;0;11;Zona Poniente;2,034406842;0,000437063;0,002185315;3,044577512;1552,445656;9752,288787;40,02409639;;44;44;40,33333333;271;Grupo 3
10042;0;COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO;13;METROPOLITANA DE SANTIAGO;13126;QUINTA NORMAL;3;2;3;1;250;286;10042-0;56;2266;0;0;0;0;3;132;64;2618;78,17341231;593;648;1241;449;449;411;411;860;GRATUITO;GRATUITO;-33,42208002;-70,69608224;100;1530;455;453;0;1;19502,07882;1;1;4;2;1;0;1;Zona Poniente;12,74645674;0,00130719;0,000653595;3,362637363;1865,404928;8931,130221;40,46428571;;;44;40,90625;286;Grupo 3
10044;7;CENTRO EDUCACIONAL ALBERTO HURTADO;13;METROPOLITANA DE SANTIAGO;13126;QUINTA NORMAL;3;2;2;1;221;227;10044-7;34;1378;0;0;1;44;1;44;39;1598;100;526;225;751;437;437;188;188;625;GRATUITO;GRATUITO;-33,44784309;-70,69315919;100;2920;1029;496;411;0;0;1;1;10;0;71;0;2;Zona Poniente;0;0;0,000342466;2,837706511;692,3551056;7860,037476;40,52941176;;44;44;40,97435897;227;Grupo 2
10052;8;LICEO POLITECNICO SAN FRANCISCO SOLANO;13;METROPOLITANA DE SANTIAGO;13103;CERRO NAVIA;3;2;1;1;207;218;10052-8;19;577;0;0;1;44;0;0;27;897;86,51444479;281;151;432;298;298;71;71;369;GRATUITO;GRATUITO;-33,43167002;-70,72136001;73,5955;2207;655;631;1;4;2418,893937;2;0;9;0;2;0;3;Zona Poniente;1,09600994;0;0,000906208;3,369465649;1363,199886;9962,378653;30,36842105;;44;;33,22222222;218;Grupo 2
10058;7;COLEGIO POLIVALENTE PRINCIPE DE GALES;13;METROPOLITANA DE SANTIAGO;13106;ESTACION CENTRAL;3;2;3;1;219;225;10058-7;29;1163;1;44;0;0;0;0;32;1295;98,09341131;619;490;1109;307;0;417;0;0;$1.000 A $10.000;$25.001 A $50.000;-33,44955302;-70,69511693;100;2920;1029;496;411;0;0;1;1;10;0;71;0;2;Zona Centro;0;0;0,000342466;2,837706511;578,5752035;7933,09081;40,10344828;44;;;40,46875;225;Grupo 3
10069;2;COLEGIO MARQUEL;13;METROPOLITANA DE SANTIAGO;13126;QUINTA NORMAL;3;2;3;1;261;266;10069-2;42;1666;0;0;1;44;0;0;46;1828;100;761;715;1476;685;685;488;488;1173;GRATUITO;GRATUITO;-33,44675062;-70,70159352;97,5909;5742;2062;1334;602;18;0;2;0;20;0;89;0;4;Zona Poniente;0;0;0,000348311;2,784675073;783,0287671;8327,423968;39,66666667;;44;;39,73913043;266;Grupo 3
10073;0;LICEO BICENTENARIO INDUSTRIAL VICENTE PEREZ ROSALES;13;METROPOLITANA DE SANTIAGO;13126;QUINTA NORMAL;5;2;2;1;211;249;10073-0;40;1688;0;0;1;44;1;40;46;1948;87,12350119;609;55;664;414;0;198;0;0;GRATUITO;GRATUITO;-33,43932469;-70,69851766;89,1468;4316;1421;1355;45;3;5383,997884;3;0;6;0;14;0;3;Zona Poniente;1,247450854;0;0,000695088;3,037297678;749,0967313;8337,456049;42,2;;44;40;42,34782609;249;Grupo 2
10075;7;LICEO POLIVALENTE LOS HEROES DE LA CONCEPCIÓN;13;METROPOLITANA DE SANTIAGO;13103;CERRO NAVIA;6;4;1;1;231;204;10075-7;27;1018;1;44;1;44;0;0;34;1311;73,3908434;135;190;325;222;210;28;27;237;GRATUITO;GRATUITO;-33,42281724;-70,74179704;100;5399;1510;1328;114;28;55220,00619;7;0;8;0;24;0;4;Zona Poniente;10,22782111;0;0,001296536;3,575496689;2451,468178;11723,25611;37,7037037;44;44;;38,55882353;204;Grupo 2
10076;5;COMPLEJO EDUCACIONAL PEDRO PRADO;13;METROPOLITANA DE SANTIAGO;13117;LO PRADO;6;4;1;1;228;216;10076-5;52;1948;4;176;1;44;0;0;62;2382;84,82391866;452;498;950;550;550;179;179;729;GRATUITO;GRATUITO;-33,44430155;-70,72837157;100;7932;2504;2201;27;40;4426,842687;3;0;18;0;193;0;3;Zona Poniente;0,558099179;0;0,000378215;3,167731629;503,2453374;10064,45102;37,46153846;44;44;;38,41935484;216;Grupo 2
