Anio;Nivel;rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;prom_lect2m_rbd;prom_mate2m_rbd;palu_eda_insuficiente_lect2m_rbd;palu_eda_insuficiente_mate2m_rbd;total_profesores;total_hh;total_prioritarios;total_beneficiarios;total_matriculados;promedio_asistencia;latitud;longitud;pago_mensual
2022;2m;11397;2;COLEGIO ADVENTISTA;8;DEL BIOBÍO;81;CONCEPCI;8106;LOTA;3;2;3;1;250;287;42,1;22;0;0;209;0;0;88,80662983;-33,049389;-71,43899;$25.001 A $50.000
2022;2m;11400;6;LICEO TRAPAQUEANTE;8;DEL BIOBÍO;82;ARAUCO;8207;TIRÚA;2;1;1;1;231;218;64,9;74;38;1549;36;34;386;90,44628099;-38,343781;-73,494942;GRATUITO
2022;2m;11430;8;COLEGIO TERESIANO PADRE ENRIQUE;8;DEL BIOBÍO;83;BIOBÍO;8306;NACIMIENTO;3;2;3;1;259;273;41,5;36,6;72;2686;515;515;1215;88,88342697;-37,497898;-72,682167;GRATUITO
2022;2m;11706;4;LICEO PARTICULAR LOS ANDES;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;3;2;2;1;246;229;60,5;65,8;56;1759;78;74;643;92,34431138;-36,837341;-73,137589;GRATUITO
2022;2m;11709;9;COLEGIO ALERCE;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;2;1;263;307;33,3;26,1;30;920;51;51;362;94,09333333;-36,824471;-73,070831;GRATUITO
2022;2m;11712;9;ESCUELA PARTICULAR GASPAR CABRALES;8;DEL BIOBÍO;82;ARAUCO;8206;LOS ÁLAMOS;3;2;3;2;251;258;52,2;48,5;53;2127;265;265;1156;89,60557769;-37,625648;-73,465797;GRATUITO
2022;2m;11716;1;COLEGIO MARÍA INMACULADA DE LOS ÁNGELES;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;3;2;2;1;253;237;50;63,6;42;1445;52;52;336;93,16243655;-37,484169;-72,349167;GRATUITO
2022;2m;12004;9;LICEO POLITECNICO CURANILAHUE;8;DEL BIOBÍO;82;ARAUCO;8205;CURANILAHUE;3;2;1;1;210;202;76,5;87,5;25;896;31;31;238;93,47619048;-37,47794;-73,359261;GRATUITO
2022;2m;12005;7;COLEGIO DON ORIONE;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;3;2;1;1;204;222;80,5;79;65;2405;336;336;1322;87,10606061;-32,78648;-71,533737;GRATUITO
2022;2m;12015;4;COLEGIO CONCEPCION;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;4;3;5;1;273;292;25,5;22,9;54;1924;107;0;972;90,74857143;-36,857386;-73,04931;MAS DE $100.000
2022;2m;12024;3;THE WESSEX SCHOOL;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;4;3;5;1;289;320;11,4;8,1;75;2931;67;0;950;90,63953488;-36,78634;-73,01875;MAS DE $100.000
2022;2m;12025;1;COLEGIO ITAHUE DE CHIGUAYANTE;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;4;3;5;1;287;348;8,3;0;39;1424;9;0;332;91,15;-36,876333;-73,03325;MAS DE $100.000
2022;2m;12031;6;COLEGIO SAN DIEGO DE ALCALÁ;8;DEL BIOBÍO;83;BIOBÍO;8312;TUCAPEL;3;2;3;1;272;261;25;41,9;37;1447;209;209;619;88,78333333;-37,244202;-71,944183;GRATUITO
2022;2m;12033;2;LICEO INDUSTRIAL METODISTA DE CORONEL;8;DEL BIOBÍO;81;CONCEPCI;8102;CORONEL;3;2;2;1;208;211;82,7;84,3;61;2243;178;178;895;90,78164925;-36,991669;-73,168007;GRATUITO
2022;2m;12036;7;COLEGIO PINARES;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;4;3;5;1;333;390;0;0;24;990;4;0;270;91,99502488;-36,8886;-73,03553;MAS DE $100.000
2022;2m;12037;5;LICEO POLIVALENTE HERMANAS MAESTRAS DE LA SANTA CRUZ;8;DEL BIOBÍO;83;BIOBÍO;8304;LAJA;3;2;3;1;225;244;72,1;53,5;60;2402;219;219;712;87,72374429;-37,286701;-72,702843;GRATUITO
2022;2m;12059;6;COLEGIO AGRÍCOLA LOS MAYOS;8;DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;3;2;1;2;207;203;84,6;86,2;23;898;2;2;177;92,45454545;-37,67458;-71,934181;GRATUITO
2022;2m;12062;6;LICEO MAURICIO HOCHSCHILD;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;3;2;2;1;221;232;73,5;65,6;76;3094;253;253;965;86,4525627;-36,843578;-73,112289;GRATUITO
2022;2m;12063;4;THE THOMAS JEFFERSON SCHOOL;8;DEL BIOBÍO;81;CONCEPCI;8110;TALCAHUANO;4;3;5;1;285;335;20,5;4,8;71;2743;38;0;1020;92,18978102;-36,785557;-73,06083;MAS DE $100.000
