enc_region;IH_residencia_habitual;rph_edad;rph_sexo;rph_nacionalidad;rph_nivel;rph_estadocivil;rph_situacion_laboral_a;rph_nse;P_AUMENTO_PAIS;P_FUENTE_INFO_PAIS_1;P_DELITO_PRONOSTICO__1;Pronostico_robo_vivienda
Biobío;1;>70;Mujer;Chilena;Educación secundaria;Viudo;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Biobío;2;60-69;Mujer;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;TV;1;Si
Valparaíso;3;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Los lagos;3;20-29;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Los lagos;2;50-59;Mujer;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Metropolitana;4;30-39;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Experiencias;0;No
Biobío;3;40-49;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Maule;3;60-69;Hombre;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Valparaíso;2;>70;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;1;Si
La Araucanía;1;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Valparaíso;4;40-49;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;Experiencias;0;No
Valparaíso;4;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;TV;0;No
Valparaíso;1;>70;Mujer;Chilena;Educación secundaria;Viudo;Cesante;NSE medio;Aumentó;Noticias;1;Si
Biobío;4;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Coquimbo;3;30-39;Mujer;Chilena;Educación superior;Casado;Cesante;NSE alto;Aumentó;Noticias;0;No
Coquimbo;7;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Metropolitana;4;60-69;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Metropolitana;1;>70;Mujer;Chilena;Educación secundaria;Viudo;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;4;60-69;Hombre;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Noticias;1;Si
Metropolitana;3;50-59;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;6;20-29;Mujer;Extranjero;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Maule;1;30-39;Hombre;Chilena;Educación superior;Separado;Empleado;NSE alto;Se mantuvo;Familiar;0;No
La Araucanía;4;30-39;Mujer;Chilena;Educación superior;Conviviente;Cesante;NSE bajo;Aumentó;Redes sociales;1;Si
Metropolitana;2;>70;Hombre;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Otras personas;0;No
Metropolitana;4;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;TV;0;No
Metropolitana;2;60-69;Mujer;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Otras personas;0;No
Valparaíso;3;50-59;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;TV;0;No
Valparaíso;5;40-49;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;1;Si
Metropolitana;3;60-69;Mujer;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;TV;0;No
La Araucanía;2;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Biobío;2;40-49;Mujer;Chilena;Educación superior;Separado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;2;40-49;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;TV;0;No
Maule;2;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Se mantuvo;Redes sociales;0;No
Valparaíso;3;60-69;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Biobío;3;60-69;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;1;>70;Mujer;Chilena;Educación básica;Viudo;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Metropolitana;4;40-49;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Se mantuvo;Redes sociales;0;No
Maule;1;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;5;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Metropolitana;4;40-49;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Se mantuvo;Otras personas;1;Si
Metropolitana;7;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;1;Si
Biobío;1;50-59;Hombre;Chilena;Educación básica;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Biobío;2;50-59;Mujer;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;3;60-69;Mujer;Chilena;Educación superior;Casado;Empleado;NSE bajo;Aumentó;Noticias;1;Si
Biobío;4;60-69;Mujer;Chilena;Educación básica;Viudo;Empleado;NSE bajo;Aumentó;Noticias;0;No
La Araucanía;3;>70;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;1;Si
Valparaíso;6;50-59;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Valparaíso;2;60-69;Mujer;Chilena;Educación superior;Separado;Cesante;NSE medio;Aumentó;Redes sociales;1;Si
Metropolitana;1;>70;Mujer;Chilena;Educación superior;Separado;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;3;50-59;Hombre;Chilena;Educación básica;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
La Araucanía;2;>70;Hombre;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
